fecha,z(mm6/mm3),Int(mm/h)
2012/01/17 04:30,178.525,8.128
2012/01/18 03:00,4028.098,12.192
2012/01/30 06:15,425.696,13.208
2012/01/30 08:15,3173.219,22.352
2012/01/30 08:30,2806.726,18.288
2012/03/26 04:00,1014.846,35.560
2012/03/30 01:00,7992.819,12.192
2012/05/05 23:30,3.972,9.144
2012/05/06 02:00,6674.212,8.128
2012/05/07 03:45,4641.945,89.408
2012/05/07 04:00,8154.550,60.960
2012/05/07 05:45,607.855,13.208
2012/05/07 06:00,204.833,9.144
2012/05/16 01:45,14.093,10.160
2012/05/16 02:00,4393.392,12.192
2012/05/18 01:30,1100.019,13.208
2012/05/18 01:45,1608.422,11.176
2012/05/25 22:30,1911.613,40.640
2012/05/25 23:00,751.796,11.176
2012/06/07 21:15,7232.692,76.200
2012/06/07 21:30,298.813,19.304
2012/06/12 03:45,0.354,8.128
2012/06/15 23:45,1724.646,13.208
2012/06/16 00:15,4230.581,13.208
2012/06/16 03:15,1990.673,8.128
2012/06/16 03:30,2549.177,18.288
2012/06/16 03:45,2990.198,24.384
2012/06/16 04:00,5819.692,32.512
2012/06/21 00:15,2171.201,9.144
2012/06/21 00:30,1224.898,22.352
2012/06/21 00:45,138.899,20.320
2012/06/21 01:00,73.841,9.144
2012/06/28 22:45,2274.050,10.160
2012/06/30 21:00,113.972,19.304
2012/07/05 23:30,945.148,9.144
2012/07/05 23:45,5397.591,69.088
2012/07/06 00:15,855.658,16.256
2012/07/11 22:45,417.638,76.200
2012/07/11 23:00,552.968,96.520
2012/07/11 23:45,442.894,9.144
2012/07/30 01:30,220.597,9.144
2012/07/30 01:45,629.506,28.448
2012/07/30 02:00,69.615,10.160
2012/07/30 02:30,546.387,8.128
2012/08/12 04:45,2468.312,13.208
2012/08/17 00:45,9455.837,52.832
2012/08/22 23:45,7331.621,39.624
2012/08/23 00:00,1170.308,8.128
2012/08/25 06:15,5008.411,32.512
2012/09/05 02:30,574.513,15.240
2012/09/05 02:45,910.542,35.560
2012/09/05 03:00,3885.080,37.592
2012/09/05 03:15,1313.107,23.368
2012/09/05 04:00,143.021,11.176
2012/09/18 23:00,23.599,33.528
2012/09/18 23:15,237.356,51.816
2012/09/21 00:30,8154.550,17.272
2012/09/21 00:45,3029.703,12.192
2012/09/21 01:15,1792.256,11.176
2012/09/24 21:00,278.292,38.608
2012/09/24 21:45,5792.953,15.240
2012/09/24 22:00,5227.572,32.512
2012/09/24 22:30,1459.486,12.192
2012/09/27 01:00,39.719,17.272
2012/09/27 01:15,550.047,111.760
2012/09/27 01:30,2072.526,17.272
2012/10/01 04:15,748.686,16.256
2012/10/01 04:30,945.584,19.304
2012/10/02 00:30,98.696,35.560
2012/10/05 17:30,301.578,11.176
2012/10/15 18:15,196.200,20.320
2012/10/18 00:15,1459.822,13.208
2012/10/18 00:30,1074.979,11.176
2012/10/23 22:15,1886.688,25.400
2012/10/24 18:30,1107.899,11.176
2012/10/24 23:15,413.809,72.136
2012/10/24 23:30,983.332,100.584
2012/10/30 04:15,136.553,16.256
2012/10/30 04:30,488.427,39.624
2012/10/30 18:15,2316.861,33.528
2012/11/03 02:15,18.767,17.272
2012/11/15 07:45,87.640,9.144
2012/11/15 19:30,248.028,32.512
2012/11/15 19:45,74.165,25.400
2012/11/15 20:45,184.332,15.240
2012/11/15 21:00,716.968,12.192
2012/11/15 21:15,800.756,9.144
2012/11/16 18:30,6594.775,9.144
2012/11/16 18:45,1357.063,28.448
2012/11/16 19:00,669.730,12.192
2012/11/22 15:00,272.333,19.304
2012/11/27 05:30,1061.451,41.656
2012/11/27 05:45,231.793,24.384
2012/11/28 13:00,861.589,15.240
2012/12/14 13:45,58.439,15.240
2012/12/14 14:00,4434.044,78.232
2012/12/14 14:15,19.200,8.128
2012/12/28 01:45,1042.077,43.688
2012/12/28 02:00,4394.404,16.256
